,Channel Name,Video Name,URL
0,New York Post,Tiger shark charges unsuspecting swimmer in chilling drone video | New York Post,https://www.youtube.com/watch?v=N1tdmw6foIM
1,Storyful Viral,Drone Captures Shark Coming Close to Swimmers on WA Coast,https://www.youtube.com/watch?v=qCwmAO9jEAg
2,Joey Paesano (Giuseppe),"Shark Drone Footage At Shark Bite Capital Of The World, New Smyrna Beach, FL. Shark Aerial View. NSB",https://www.youtube.com/watch?v=gzjNHBxd3aY
3,Matt Larmand,drone footage of great white shark swimming at full speed,https://www.youtube.com/watch?v=S5f-nyZIU8Y
4,The Sun,Drone captures shark closing in on swimmers at beach in Perth #shorts,https://www.youtube.com/watch?v=eSE9aJ_OxQM
5,Storyful Viral,Drone Footage Captures Shark Lurking Beneath Paddle Boarder in North Avoca Beach,https://www.youtube.com/watch?v=w-r89DB3RGM
6,FOX 35 Orlando,Drone video: Lone shark quietly swims by unsuspecting swimmers at Florida beach,https://www.youtube.com/watch?v=d6nIUqxf8dk
7,The Lateral Line,"Harbour full of Great White Sharks. Epic White Shark footage, Drone and Under Water.",https://www.youtube.com/watch?v=SxJofoHrcqs
8,YBS Youngbloods,Amazing GREAT WHITE SHARK Drone Footage & Catching Giant Mackerel In My Back Yard - Ep 226,https://www.youtube.com/watch?v=xoImiShZeYg
9,Discovery,Drone Spots Shark Hunting Seal | Shark Week,https://www.youtube.com/watch?v=XtSAnt2HnhU
10,Stab: We like to surf,Great White Sharks Swim Underneath Surfers In San Diego | Drone Footage by @Scott_fairchild,https://www.youtube.com/watch?v=T25XY_RhGmY
11,Storyful Viral,Drone Footage Shows Tiger Shark Swimming Close to Beachgoers,https://www.youtube.com/watch?v=YSNO-hG_ywM
12,gashpilot,Maldives Killer Shark attack drone footage,https://www.youtube.com/watch?v=Ee4cx0ancyQ
13,The Daily Jaws,"First ever drone footage of Orcas killing Great White shark (South Africa, 2022)",https://www.youtube.com/watch?v=1WRpgMUXrgE
14,Trending and Viral News ,"Stunning Drone Footage Shows Three Killer Whales Hunt 9-foot Great White Shark, Video Went Viral",https://www.youtube.com/watch?v=BdpVNVg5I6o
15,b/60,Florida Surfer Shoots Drone Footage of Shark Frenzy Near Shoreline in Crazy Video,https://www.youtube.com/watch?v=DiJ9T_soCw0
16,CBS Miami,Drone Footage Captures Shark Swimming Near Florida Man's Children,https://www.youtube.com/watch?v=qrI2w3gEuLQ
17,New York Post,Tiger shark charges unsuspecting swimmer in chilling drone video | New York Post,https://www.youtube.com/watch?v=N1tdmw6foIM
18,Storyful Viral,Drone Captures Shark Coming Close to Swimmers on WA Coast,https://www.youtube.com/watch?v=qCwmAO9jEAg
19,The Sun,Drone captures shark closing in on swimmers at beach in Perth #shorts,https://www.youtube.com/watch?v=eSE9aJ_OxQM
20,Matt Larmand,drone footage of great white shark swimming at full speed,https://www.youtube.com/watch?v=S5f-nyZIU8Y
21,Storyful Viral,Drone Footage Captures Shark Lurking Beneath Paddle Boarder in North Avoca Beach,https://www.youtube.com/watch?v=w-r89DB3RGM
22,FOX 35 Orlando,Drone video: Lone shark quietly swims by unsuspecting swimmers at Florida beach,https://www.youtube.com/watch?v=d6nIUqxf8dk
23,Joey Paesano (Giuseppe),"Shark Drone Footage At Shark Bite Capital Of The World, New Smyrna Beach, FL. Shark Aerial View. NSB",https://www.youtube.com/watch?v=gzjNHBxd3aY
24,The Lateral Line,"Harbour full of Great White Sharks. Epic White Shark footage, Drone and Under Water.",https://www.youtube.com/watch?v=SxJofoHrcqs
25,Stab: We like to surf,Great White Sharks Swim Underneath Surfers In San Diego | Drone Footage by @Scott_fairchild,https://www.youtube.com/watch?v=T25XY_RhGmY
26,Storyful Viral,Drone Footage Shows Tiger Shark Swimming Close to Beachgoers,https://www.youtube.com/watch?v=YSNO-hG_ywM
27,gashpilot,Maldives Killer Shark attack drone footage,https://www.youtube.com/watch?v=Ee4cx0ancyQ
28,The Daily Jaws,"First ever drone footage of Orcas killing Great White shark (South Africa, 2022)",https://www.youtube.com/watch?v=1WRpgMUXrgE
29,YBS Youngbloods,Amazing GREAT WHITE SHARK Drone Footage & Catching Giant Mackerel In My Back Yard - Ep 226,https://www.youtube.com/watch?v=xoImiShZeYg
30,Trending and Viral News ,"Stunning Drone Footage Shows Three Killer Whales Hunt 9-foot Great White Shark, Video Went Viral",https://www.youtube.com/watch?v=BdpVNVg5I6o
31,b/60,Florida Surfer Shoots Drone Footage of Shark Frenzy Near Shoreline in Crazy Video,https://www.youtube.com/watch?v=DiJ9T_soCw0
32,Discovery,Drone Spots Shark Hunting Seal | Shark Week,https://www.youtube.com/watch?v=XtSAnt2HnhU
33,Storyful Viral,Drone Footage Captures Tiger Shark Roaming Close to Swimmers in Miami's South Beach Shore,https://www.youtube.com/watch?v=14SjsqjgvII
34,Global News,"Killer whales caught on camera hunting, catching great white shark",https://www.youtube.com/watch?v=d0uytmATLAw
