,Channel Name,Video Name,URL
0,Storyful Viral,Drone Captures Shark Coming Close to Swimmers on WA Coast,https://www.youtube.com/watch?v=qCwmAO9jEAg
1,The Rogue Droner,WHITE SHARK STALKS SURFERS - Shark Drone Footage,https://www.youtube.com/watch?v=adOq_F7SMPQ
2,The Lateral Line,"Harbour full of Great White Sharks. Epic White Shark footage, Drone and Under Water.",https://www.youtube.com/watch?v=SxJofoHrcqs
3,Discovery,Drone Spots Shark Hunting Seal | Shark Week,https://www.youtube.com/watch?v=XtSAnt2HnhU
4,gashpilot,Maldives Killer Shark attack drone footage,https://www.youtube.com/watch?v=Ee4cx0ancyQ
5,FOX 35 Orlando,Drone video: Lone shark quietly swims by unsuspecting swimmers at Florida beach,https://www.youtube.com/watch?v=d6nIUqxf8dk
6,National Geographic,Watch: Killer Whales Charge Blue Whale (Rare Drone Footage) | National Geographic,https://www.youtube.com/watch?v=8KCQrLA3UKw
7,Storyful Viral,Drone Footage Shows Tiger Shark Swimming Close to Beachgoers,https://www.youtube.com/watch?v=YSNO-hG_ywM
8,SET India,NEW! Shark Tank India - Ep 13 | Up And Coming Business Ideas | 18 Jan 2023 | Teaser,https://www.youtube.com/watch?v=DkR70X-SsY0
9,MostAmazingTop10,Top 10 Scary Drone Footage That Will Haunt You,https://www.youtube.com/watch?v=kYBoZv-1H3k
10,Stromedy,you won&#39;t believe what my drone caught on camera inside Blair Witch forest (We saw her),https://www.youtube.com/watch?v=H0e0r2QtyoU
11,Joey Paesano (Giuseppe),"Shark Drone Footage At Shark Bite Capital Of The World, New Smyrna Beach, FL. Shark Aerial View. NSB",https://www.youtube.com/watch?v=gzjNHBxd3aY
12,Matt Larmand,drone footage of great white shark swimming at full speed,https://www.youtube.com/watch?v=S5f-nyZIU8Y
13,Storyful Viral,Drone Footage Captures Tiger Shark Roaming Close to Swimmers in Miami&#39;s South Beach Shore,https://www.youtube.com/watch?v=14SjsqjgvII
14,CBS Miami,Drone Footage Captures Shark Swimming Near Florida Man&#39;s Children,https://www.youtube.com/watch?v=qrI2w3gEuLQ
15,The Sun,Drone captures shark closing in on swimmers at beach in Perth #shorts,https://www.youtube.com/watch?v=eSE9aJ_OxQM
16,BEAU SHOW,Rare Footage Shark Attacks  Swimmer!!!!!!!!,https://www.youtube.com/watch?v=jWeW7cdGqC0
17,The Stork,Drone shark footage,https://www.youtube.com/watch?v=q2U3gjwJfS4
18,Stab: We like to surf,Great White Sharks Swim Underneath Surfers In San Diego | Drone Footage by @Scott_fairchild,https://www.youtube.com/watch?v=T25XY_RhGmY
19,SHARK,SHARK Drone Exposes Labcorp Research Beagles,https://www.youtube.com/watch?v=Ww6OgrKlRlk
20,To Arnhem Land And Back,Bull Shark swims by huge Saltwater Crocodile - 4K Drone Footage -,https://www.youtube.com/watch?v=TqFHXcLsyt4
21,Matt Smith,Kayak Shark Encounter with drone footage.,https://www.youtube.com/watch?v=evh2pQCSzDo
22,ABC7,Drone shows shark coming close to swimmers at Western Australia beach,https://www.youtube.com/watch?v=l__rHKG3-Ek
23,YBS Youngbloods,Amazing GREAT WHITE SHARK Drone Footage &amp; Catching Giant Mackerel In My Back Yard - Ep 226,https://www.youtube.com/watch?v=xoImiShZeYg
24,Courtland Hunt,Drone Footage of Bull Shark attack on Spearfishing Team | Mavic Pro,https://www.youtube.com/watch?v=NKGObTK9irw
25,Reuters,Drone footage shows shark sizing up surfer in Australia,https://www.youtube.com/watch?v=ojCqn49FUN4
26,TAPP Channel,Shark Drone Video Captured In Florida,https://www.youtube.com/watch?v=ThCX0U4aKpc
27,Gannet - Drone Fishing,Drone fishing with a Phantom and massive Shark baits,https://www.youtube.com/watch?v=aIojo1VM26c
28,The Daily Jaws,"First ever drone footage of Orcas killing Great White shark (South Africa, 2022)",https://www.youtube.com/watch?v=1WRpgMUXrgE
29,CBS News,Large shark sneaks behind beachgoers in Florida,https://www.youtube.com/watch?v=GjNxiHg5qRI
30,YBS Youngbloods,"SHARK VS CROCODILE!! (Amazing Drone Footage) Fishing For A $1,000,000 Barramundi - Ep 140",https://www.youtube.com/watch?v=oL0DkSkCyGc
31,CBS Mornings,Drone video captures human encounters with great white sharks off Southern California coast,https://www.youtube.com/watch?v=VceDyO_F-Q0
32,Sharky Shepo,Drone Shark fishing - hammerhead,https://www.youtube.com/watch?v=_WGAyAF3Ea8
33,Living in Paradise,"4K Drone: Shark Pit - Lahaina, Maui - Hawaii",https://www.youtube.com/watch?v=43jyOv4BSiM
34,The Rogue Droner,WHITE SHARK STALKS KIDS - Shark Drone Footage,https://www.youtube.com/watch?v=VrXp_PHUOUI
35,The Age & Sydney Morning Herald,"Drone spots enormous great white shark in Esperance, Western Australia",https://www.youtube.com/watch?v=D72VGF0tWXo
36,CBSDFW,Drone Catches Shark Near Unaware Swimmers,https://www.youtube.com/watch?v=jboPBNkjNdQ
37,billschannel,NEW MEGALODON DRONE FOOTAGE - real or fake?,https://www.youtube.com/watch?v=PTYtpXgViso
38,Did You Know ?,Orcas stalk and kill great white sharks in drone footage never seen before,https://www.youtube.com/watch?v=QwUgDpTpJO8
39,FOX 5 San Diego,Incredible Drone Video Shows Great White Sharks In Del Mar,https://www.youtube.com/watch?v=DVLJZQ5AXDI
40,WKMG News 6 ClickOrlando,Huge hammerhead shark circles clueless swimmer in Florida,https://www.youtube.com/watch?v=URM-eLguP38
41,Globe Lite,Shark vs Dolphins ~ drone view 🦈🐬,https://www.youtube.com/watch?v=VvQppH7Eu9g
42,FOX 35 Orlando,Video: Drone spots hundreds of sharks swimming near shore of Florida beach,https://www.youtube.com/watch?v=KwTIqLiHkNg
43,NSW Department of Primary Industries | Fisheries,NSW Drone Shark Detection,https://www.youtube.com/watch?v=z007p-8e_QA
44,TODAY,Drone Video Captures Great White Sharks Along California Coast | TODAY,https://www.youtube.com/watch?v=oap5KbiTFJw
45,Black Manta Photography,GREAT WHITE SHARKS &amp; ELEPHANT SEALS | DRONE FOOTAGE,https://www.youtube.com/watch?v=TG7FOMikD1w
46,CBS Boston,Drone Video Of Shark Prompts Closure Of Cape Cod Beach,https://www.youtube.com/watch?v=K6NCfGVLRWM
47,Die Hard Fishing,EPIC Drone Footage of GREAT WHITE SHARKS Along California Coastline,https://www.youtube.com/watch?v=9NC7BQY7Hrg
48,NBC News,Watch: Massive Shark Swims By Ship Off New England Coast,https://www.youtube.com/watch?v=MPZb7kRqhM4
49,Tolga,Philippines drone footage in 4K #Boracay #Cebu #Moalboal #Oslob,https://www.youtube.com/watch?v=IUm6qsFCli0
